FID,newID,X0_30cm,SOC50m30,SOC100m30,SOC250m30,SOC250mv2
128,129,1.438220000000000,2.079119865978931,2.848684668313805,3.248291037594865,1.805368949481065
178,179,1.438220000000000,1.914193860886473,2.456638319112252,2.554952247835260,1.639628581211161
57,58,1.441010000000000,1.659197748990300,2.311722396545199,2.465320205722249,1.516737015131831
169,170,1.441010000000000,2.021170702652464,2.743526302638060,3.015324752187838,1.477956422452003
191,192,1.441010000000000,1.802622343744804,2.436535153930609,2.625160111764745,1.596988533106314
206,207,1.443700000000000,1.612022310646125,2.345216942556610,2.640239533796514,1.527454942091272
80,81,1.447970000000000,1.680465222249064,2.359067893380357,2.609999895095825,1.681666731834412
56,57,1.450850000000000,1.811465989255373,2.370256453395533,2.578575320675197,1.504889308265365
225,226,1.450850000000000,1.941923496079408,2.676430575365935,2.782901463335044,1.446431879817420
100,101,1.450860000000000,1.789052972735416,1.989853725013813,2.473525815829428,1.489020344556880
220,221,1.450860000000000,1.972033952916702,2.264931463795752,3.066541346580381,1.508702430141813
226,227,1.452580000000000,1.957451899386359,2.332179750890329,2.705074298228521,1.490947229134514
59,60,1.458020000000000,1.830511918825709,2.338933145556319,2.562590182210780,1.490613688431083
241,242,1.458020000000000,1.788212469569381,2.817472875130735,2.838556419520806,1.526304342175877
77,78,1.463490000000000,2.099338090161885,2.756804800578748,2.777076322029025,1.397272191497112
98,99,1.463490000000000,2.005809321001871,3.353111631069203,5.091265024115552,2.001097581704701
233,234,1.463490000000000,2.101187536889210,2.667387155292829,2.927927111865465,1.736408776317520
4,5,1.464850000000000,1.913134355618855,2.535066676918483,2.716108255795564,1.583056756051279
28,29,1.464850000000000,1.890271709888463,2.500191372826150,2.780991359233915,1.411187700906214
58,59,1.464850000000000,1.728976889904280,2.397224412745271,2.325265000138143,1.498986437753759
61,62,1.464850000000000,2.073552999246298,2.373047336753623,2.822109153072498,1.407951966383624
230,231,1.464850000000000,1.660862983074105,2.054282739948611,2.389091887641897,1.472421410608568
89,90,1.465530000000000,1.785763847024405,2.214494110933722,2.461716771047347,1.567412159865430
110,111,1.465530000000000,2.026876045718729,2.726578691424602,2.867816900027861,1.620180966265913
115,116,1.465530000000000,1.828162895386182,2.439200955683900,2.658434365165743,1.484869784938333
118,119,1.465530000000000,1.939998958386665,2.581323054955917,2.593732398274359,1.510605065824936
231,232,1.465530000000000,1.263644421221182,2.614482161128383,3.036491395475417,1.727099213004131
83,84,1.466730000000000,1.849315995461527,2.165644576137063,2.444243985804233,1.439803676700824
227,228,1.466730000000000,2.094280532402002,2.061471884525236,2.737993082372480,1.473230826714086
60,61,1.478050000000000,1.943991604418010,2.866314825210460,2.749202576659645,1.417029662518093
94,95,1.478050000000000,2.092355143674997,3.084838519652164,4.332661737518830,1.851599281142657
199,200,1.478050000000000,1.919443833240976,2.308653821376051,2.825289162949411,1.450603870902380
247,248,1.478050000000000,1.861629743566540,2.460897306712202,2.592030486510374,1.469652728667709
55,56,1.480730000000000,1.847557135652237,2.879739325360434,2.842410558074911,1.441895710282609
87,88,1.480730000000000,1.491728176535544,2.952992151103889,2.906541839971031,1.484540962086825
93,94,1.480730000000000,1.655363496695613,2.164787070344134,2.601563135292395,1.470616198887814
96,97,1.480730000000000,2.198466979222309,2.914636396598647,3.971538036125456,1.940549800938317
103,104,1.480730000000000,2.007196138582690,2.621653218102971,2.833175190222840,1.470165982022175
133,134,1.480730000000000,1.774346044210170,2.732583595374607,3.133168668910377,1.590677019002513
135,136,1.480730000000000,1.784383631495035,2.581873391089923,3.346300349563755,1.569499833300573
139,140,1.480730000000000,1.761227823782542,3.073011877695090,3.270958516220865,1.624268545830227
140,141,1.480730000000000,2.068059464816323,2.755311038985595,3.166549258583816,1.804164277739893
145,146,1.480730000000000,1.955621647636278,3.230745006612997,3.771963236796362,1.539455095832106
151,152,1.480730000000000,1.915387608707589,2.487881280668562,3.039567810575915,1.507879493716335
162,163,1.480730000000000,1.857349708891354,2.702132014918845,3.303291990550425,1.552911061123490
184,185,1.480730000000000,1.674281374948337,2.476369553917240,2.648530734166537,1.454644884386316
198,199,1.480730000000000,1.760594400166719,2.193413973768467,2.377414901664274,1.527461143491198
224,225,1.480730000000000,2.027176814544982,2.835817637004992,2.769450396033804,1.492100003744287
249,250,1.480730000000000,1.948998324320563,2.825863537194440,2.837578664351712,1.767786846421817
27,28,1.481100000000000,1.928193056855814,2.208744952818919,2.715921909767666,1.441981839547115
29,30,1.481100000000000,1.870891439280436,3.145340029785637,3.291202123820124,1.496189019180771
43,44,1.481100000000000,1.702601719790600,2.269643225209015,2.352524801271677,1.496278268997579
102,103,1.481100000000000,1.812440866107133,2.585605280639731,2.944290021463654,1.489235112212389
106,107,1.481100000000000,1.752222877684172,2.319038802166962,2.676829391823425,1.622881750680532
44,45,1.492970000000000,2.326557842991016,2.212400212587325,2.260152268116088,1.540252380856227
91,92,1.492970000000000,2.006603754892083,2.842304411830974,2.865852643211910,1.549912500905314
123,124,1.492970000000000,1.884587898491709,2.301469408724295,2.748296463928691,1.570690302874539
137,138,1.492970000000000,1.877091604227726,2.637659933187641,2.646422501153999,1.552542263416593
213,214,1.506060000000000,1.767598907339509,2.712168727414970,2.479060586565345,1.679654356193020
