FID,newID,X0_30cm,Clay10m30,Clay100m30,Clay250m30,Clay250mv2
22,23,10.672700000000001,8.883032476400645,10.889694905217739,10.625437472359064,11.601871685320358
34,35,4.684100000000000,9.525775324838081,10.166931475326017,11.385000228881836,11.925230241972150
38,39,8.966910000000000,10.684989231245673,11.102190596985517,11.601771913299215,12.279503360563092
31,32,10.672700000000001,9.916211326499827,10.348597313516708,10.707609398437008,12.296649491113168
32,33,8.966910000000000,10.242118388899639,11.598418481373917,11.918849604945986,12.346719552246750
20,21,10.672700000000001,7.001335218191928,11.828690938685913,12.658125827731944,12.398648164433746
44,45,8.966910000000000,10.781308183529134,11.515698055100476,11.908189209511415,12.452567073229549
43,44,10.672700000000001,9.618751519349891,11.351955896741162,13.073353248951911,12.480467967481744
42,43,8.966910000000000,9.340183874107751,11.482359344249511,12.220932461952701,12.495017062139340
45,46,10.672700000000001,10.181940059350261,10.552334920822407,11.681494821985456,12.495897887998709
37,38,8.966910000000000,11.142091529846510,11.845384884075260,11.940643436684280,12.547009269934380
29,30,5.380150000000000,9.834249412572358,12.374930844942956,11.883135721282892,12.567292268642197
35,36,8.966910000000000,9.627726520050881,11.133667220476717,11.851167227147107,12.582358319913824
25,26,4.684100000000000,9.277502610781706,11.763117607994996,11.674111346161883,12.595150696247662
27,28,8.966910000000000,10.348070842665871,12.377952745133065,11.862143447372464,12.737639422896278
28,29,10.672700000000001,11.515053980294136,12.342287162725675,11.723893972508330,12.746493953435559
33,34,10.672700000000001,11.957725157648968,12.522424055777568,12.413071532689822,12.831713993038184
39,40,10.672700000000001,9.864895794758445,10.839946680408888,11.424972897065436,12.844693308164960
41,42,10.672700000000001,11.517389277932194,11.735582703170646,12.104167000878128,12.881994129777596
36,37,7.253790000000000,10.917259785666806,11.817605640759691,13.380788327781310,12.900000572204590
10,11,8.966910000000000,10.826172533705078,11.481518554108533,11.631526011848655,12.916496480247639
40,41,10.672700000000001,10.117327433377945,10.883380987393192,11.635513180928031,13.069817886459504
16,17,6.403600000000000,10.201018408403515,11.876121724024545,11.511067492135091,13.071513632901061
47,48,10.672700000000001,10.478693230982680,12.024876671555317,12.170819915396974,13.089344981929344
26,27,9.758690000000000,8.841389261180916,11.849663892245459,11.426390438569602,13.116666793823240
30,31,4.684100000000000,7.367047724738895,11.635066258915522,11.215885492112754,13.143846276985377
17,18,8.966910000000000,10.153908703148216,11.537411120923897,11.592785667753549,13.483117075991069
5,6,10.672700000000001,10.465484596876214,11.359260046308766,11.796134960948638,13.541555179012422
15,16,10.672700000000001,10.067084057042846,11.991648826597290,10.998144822842928,13.945385804168419
11,12,10.672700000000001,11.708871457744548,12.268247634117250,12.371993201630092,14.028387238050675
4,5,10.672700000000001,10.535386217942470,11.650246867757316,11.379432134409234,14.834753653505397
24,25,8.966910000000000,6.814394815813600,12.204665279686514,14.768457999219240,15.120310351090144
18,19,8.966910000000000,8.972114153516911,11.274614731285707,15.175891200738871,15.141689368455280
19,20,8.966910000000000,11.258368482490225,10.767096969906115,16.316648012530329,15.166666030883789
7,8,4.684100000000000,9.149734017571205,11.378652465302434,12.546951705472464,15.387676344419324
12,13,4.684100000000000,8.891182435120092,12.099753413769012,12.190701230050394,15.453242353037810
1,2,8.966910000000000,10.044429028057483,11.539978654682830,12.810796814952198,15.490240399559255
13,14,8.966910000000000,10.183014804154764,12.064023275533703,12.324607318602878,15.979588055614361
8,9,2.489780000000000,11.207290189272383,11.482544792073710,12.496924221206696,16.083333969116211
6,7,4.443340000000000,10.849511214941986,11.413560559039620,12.716764792694930,16.182992005714262
2,3,5.389320000000000,9.918703359851744,11.684032519776517,13.536666870117188,16.200000762939453
14,15,4.684100000000000,8.636042005364857,11.307776618152667,12.037074615547990,16.411010183439156
9,10,8.966910000000000,9.908335044669368,11.589605667314194,12.311378389772729,16.416141321563767
0,1,8.966910000000000,10.896972091026766,12.049365450911468,12.300764175633660,16.566377745637599
21,22,10.672700000000001,6.397714046790637,10.715678977047881,10.896850658439030,2.834281304507330
23,24,10.672700000000001,6.823418327519516,12.177797339703609,13.352839779253681,9.608263572245075
