FID,newID,X0_30_cm,Sand10m30,Sand100m30,Sand250m30,Sand250mv2
3,4,0.936992,54.736384923941941,57.797963579686780,54.736384923941941,39.387918263266421
66,67,11.878900000000000,58.080000548621491,51.158259469734368,58.080000548621491,39.662397007106051
127,128,11.878900000000000,31.808330698167474,29.252163674101386,31.808330698167474,34.715907291604438
151,152,11.878900000000000,39.281652882764760,38.221293997017490,39.281652882764760,34.000950308236888
29,30,12.862100000000000,49.520941932881058,57.613003142115673,49.520941932881058,45.792323022292749
31,32,12.862100000000000,40.718315343681326,52.187323978413936,40.718315343681326,38.010755573248296
8,9,15.821800000000000,37.961949225338429,37.822662550852769,37.961949225338429,28.682667704481400
120,121,16.248400000000000,43.943254539859943,46.717982802342746,43.943254539859943,41.196819511146550
146,147,16.428699999999999,37.896110397126272,33.774005137089333,37.896110397126272,33.918502445128510
136,137,17.666799999999999,38.028056977096441,40.068994586688284,38.028056977096441,33.710754464137260
59,60,17.771500000000000,45.914561203048798,46.876858076851796,45.914561203048798,40.352041472888800
12,13,18.732600000000001,45.032725951246555,55.575683402474752,45.032725951246555,37.395447241643858
64,65,19.971399999999999,43.324315054390802,42.504701908300873,43.324315054390802,53.750132215637166
18,19,21.080800000000000,49.825533673153060,59.290800033313680,49.825533673153060,41.969403711010592
76,77,22.152200000000001,58.652600050029505,53.312913964615241,58.652600050029505,35.553444410612855
104,105,22.152200000000001,53.732720241810121,55.157960991121385,53.732720241810121,38.524749202584744
125,126,22.152200000000001,37.374743851808091,39.970270196461477,37.374743851808091,37.261158821606038
140,141,22.152200000000001,47.013555083316341,43.208042021432867,47.013555083316341,31.666617084785010
80,81,22.400200000000002,33.760116811209095,32.430831783205512,33.760116811209095,39.284605226935803
90,91,22.400200000000002,32.797224694027634,32.465597716645341,32.797224694027634,36.220679027779305
39,40,23.484200000000001,77.240951669396964,64.846130045300782,77.240951669396964,44.714085004481305
56,57,23.484200000000001,36.375428067814795,32.990235366768424,36.375428067814795,42.763807563527415
70,71,23.484200000000001,76.573339835458981,67.069965511268066,76.573339835458981,51.424704794056304
171,172,23.777200000000001,35.350613840477124,36.231164101177121,35.350613840477124,39.820087789251431
124,125,23.821600000000000,39.676639945676570,40.369566252949618,39.676639945676570,38.359787221377999
24,25,24.117699999999999,48.392833801935552,59.279940923967537,48.392833801935552,42.866345412833809
63,64,24.236100000000000,37.151443496459414,35.217928668937212,37.151443496459414,40.879153870378971
149,150,24.450700000000001,39.999706571353812,38.811329945656318,39.999706571353812,34.337512295163457
14,15,24.603200000000001,54.659640934454153,59.890358411009366,54.659640934454153,37.310180119626686
60,61,24.603200000000001,86.678576988146133,87.052987694777130,86.678576988146133,61.892854106297790
68,69,24.603200000000001,79.338704209107021,77.862330988284725,79.338704209107021,58.721773231631573
71,72,24.603200000000001,61.827294902088084,45.160472723625929,61.827294902088084,39.027230274439702
77,78,24.603200000000001,68.320602055929143,49.238841826669919,68.320602055929143,39.388165390906913
78,79,24.603200000000001,70.562351982374565,69.899210717901653,70.562351982374565,54.772223651366737
84,85,24.603200000000001,37.408491877834592,32.958501279112369,37.408491877834592,47.046511914923528
114,115,24.603200000000001,31.074109916561795,30.297365158665411,31.074109916561795,34.894059554273227
19,20,24.804700000000000,48.908314256137324,59.295193395510232,48.908314256137324,41.733396188131287
23,24,24.804700000000000,49.406563577071168,58.172834819920340,49.406563577071168,44.129881810008818
21,22,25.094799999999999,49.998943782470249,59.105661471844975,49.998943782470249,41.928259229114751
22,23,25.094799999999999,43.925351831553400,56.022536853758162,43.925351831553400,38.974670680944683
48,49,25.598600000000001,65.162972368905201,66.376333888583318,65.162972368905201,42.873692008873896
111,112,25.598600000000001,54.509962844586909,51.836983618794896,54.509962844586909,44.123881044401131
126,127,26.273900000000001,26.462282843739924,25.219002550933951,26.462282843739924,35.956239453402375
55,56,26.722700000000000,76.387855838493181,78.394124353347678,76.387855838493181,54.172250064772790
47,48,26.800100000000000,71.269032675907852,49.905128214835571,71.269032675907852,53.103945018953482
61,62,26.800100000000000,59.279217259094054,54.379809363522824,59.279217259094054,43.032141812546449
62,63,26.800100000000000,58.337207816057379,52.436381590383576,58.337207816057379,41.071418169812709
65,66,26.800100000000000,73.960820704411418,73.782999020579055,73.960820704411418,53.702290455277122
91,92,26.800100000000000,61.961547691679478,62.704132713368075,61.961547691679478,45.478338565649011
103,104,26.800100000000000,34.324414246480650,30.572446785064955,34.324414246480650,34.667586607670209
117,118,26.800100000000000,42.834962155559396,47.252136031390528,42.834962155559396,41.710578279646484
128,129,26.800100000000000,35.574729931703807,29.076627587369778,35.574729931703807,31.594287297927881
129,130,26.800100000000000,29.184456228941507,26.848500854439770,29.184456228941507,21.974045104740714
150,151,26.800100000000000,43.933053622550233,53.544380353019250,43.933053622550233,35.086126015409029
17,18,26.989899999999999,45.827862717619347,56.444781772573997,45.827862717619347,37.368795485333393
38,39,26.989899999999999,79.075743594342356,63.699307293860720,79.075743594342356,46.279664987951712
49,50,26.989899999999999,39.605747328384282,36.716873672838922,39.605747328384282,36.956780567478411
72,73,26.989899999999999,64.805030755901669,63.134352833355926,64.805030755901669,46.498416731296210
87,88,26.989899999999999,30.827624503113359,31.754219961286896,30.827624503113359,35.699680962001828
101,102,26.989899999999999,38.897563995631920,34.912055718533701,38.897563995631920,40.864326831670716
107,108,26.989899999999999,56.344226804422114,58.214679305470710,56.344226804422114,34.562204301771949
108,109,26.989899999999999,31.851777105546500,31.598957466201753,31.851777105546500,40.755948553308770
122,123,26.989899999999999,38.786773943045922,39.555792567790732,38.786773943045922,35.557311283248197
141,142,26.989899999999999,45.846811899497737,38.220275335634966,45.846811899497737,21.813978876791925
145,146,26.989899999999999,44.463436392243402,41.306317501327655,44.463436392243402,31.085897151164474
148,149,26.989899999999999,30.628440393195216,30.567880186388379,30.628440393195216,25.699626775767385
158,159,26.989899999999999,32.676191023813423,34.982636937064377,32.676191023813423,32.373188598753160
168,169,26.989899999999999,36.260201270774374,37.599477077720032,36.260201270774374,35.906165377242054
1,2,27.090299999999999,54.862781388354385,59.112609621842481,54.862781388354385,36.258783701869241
109,110,27.320399999999999,62.397650960063622,64.740981956318848,62.397650960063622,35.323854503691123
154,155,27.320399999999999,47.779734863505865,47.741807677780052,47.779734863505865,35.963738288397202
82,83,27.428999999999998,42.950682177336077,39.358370569774443,42.950682177336077,33.909454419748585
172,173,28.214600000000001,32.801577291714644,34.452340416608529,32.801577291714644,38.556172318611566
28,29,28.312400000000000,45.376399377034112,56.787877284679318,45.376399377034112,39.247118789713014
10,11,28.339700000000001,43.253148332943994,49.755343206685694,43.253148332943994,37.575821188859528
36,37,28.339700000000001,82.333577094248596,63.838242912874989,82.333577094248596,48.657364222200606
52,53,28.339700000000001,81.360454537714560,72.971015957624488,81.360454537714560,58.852328117703671
139,140,28.339700000000001,33.777219546918658,28.163100501739244,33.777219546918658,18.748005319237436
132,133,28.658000000000001,36.137051281433266,35.481513555587881,36.137051281433266,31.290556417426536
93,94,28.688400000000001,56.060152019032287,57.304747743789449,56.060152019032287,42.082307948642359
51,52,28.796700000000001,64.397389422278877,43.497215180121458,64.397389422278877,47.955827376119565
73,74,28.796700000000001,41.823141801863869,37.636449662643216,41.823141801863869,46.439407719972159
100,101,28.796700000000001,42.348625397143252,39.150317027254125,42.348625397143252,43.180787364361272
37,38,28.873899999999999,77.551345501750731,63.761439085567375,77.551345501750731,43.013900499750207
147,148,28.900300000000001,39.524402575511829,36.413098160601244,39.524402575511829,30.310170066781211
115,116,29.160499999999999,39.752935374907928,35.207174605714066,39.752935374907928,32.236469524026269
106,107,29.371500000000001,40.958605584564033,36.703013594162904,40.958605584564033,43.414355649692133
0,1,29.963200000000001,36.292527403353844,37.915977050643527,36.292527403353844,38.398673909256409
105,106,30.355799999999999,32.042780064267959,32.781096437014973,32.042780064267959,39.083286752052594
112,113,30.641100000000002,35.909073116523956,33.658545102754772,35.909073116523956,38.753614674838694
25,26,30.706499999999998,37.372799787372237,49.640256172129249,37.372799787372237,38.163252061763636
30,31,30.706499999999998,45.885246086158098,54.431452238711010,45.885246086158098,40.181320101212897
41,42,30.706499999999998,84.828478375055866,64.667008143880281,84.828478375055866,48.537723761751081
43,44,30.706499999999998,77.766677132344313,61.950308188839706,77.766677132344313,48.059147927033756
94,95,30.706499999999998,43.800154185712330,42.025732000701559,43.800154185712330,34.121643727052458
121,122,30.706499999999998,53.230960709858294,58.097791610830036,53.230960709858294,37.100148578974235
123,124,30.706499999999998,44.094404083825822,41.354418641693933,44.094404083825822,39.235081211149911
130,131,30.706499999999998,38.873942892815442,41.108263531593288,38.873942892815442,36.635409418747265
155,156,30.706499999999998,27.491843735075058,32.178028951782728,27.491843735075058,34.847558757389926
156,157,30.706499999999998,41.837606330579106,38.646831812368951,41.837606330579106,39.088005049971038
166,167,30.706499999999998,42.875454144571201,40.110378113056179,42.875454144571201,38.913112681109240
42,43,31.357099999999999,79.071503527546653,62.647567722670935,79.071503527546653,47.540800595056012
57,58,31.357099999999999,85.567117396993183,86.270073283438919,85.567117396993183,58.789603551213482
152,153,31.357099999999999,39.065335496942325,39.592890978450114,39.065335496942325,25.959934178349787
32,33,31.520900000000001,49.776027576801255,58.797754635449969,49.776027576801255,50.620947126545623
46,47,31.520900000000001,65.028718468820600,44.699126953504987,65.028718468820600,43.017020791314536
85,86,31.520900000000001,65.261301953366868,65.495156821481714,65.261301953366868,49.903394181691453
134,135,31.520900000000001,37.632669617227023,35.234809468885594,37.632669617227023,28.168950772073153
45,46,31.699900000000000,75.464494636305176,61.618506319077142,75.464494636305176,43.326502716096343
99,100,31.699900000000000,32.355695034316227,31.403510045787506,32.355695034316227,33.362221334680839
113,114,31.699900000000000,51.129297084995429,49.541610854871564,51.129297084995429,41.141593375805044
116,117,31.699900000000000,52.321233765613663,48.732636182693142,52.321233765613663,45.204820642327249
118,119,31.699900000000000,36.530333514856054,32.960941395024548,36.530333514856054,28.875198040736077
143,144,31.699900000000000,31.150177253105944,29.914124021170117,31.150177253105944,39.514765816371849
34,35,31.967600000000001,35.945357409365350,49.492061269432803,35.945357409365350,36.697834285592471
170,171,32.580199999999998,36.293103109349559,37.195406507854237,36.293103109349559,36.666761173711798
67,68,32.907499999999999,52.548888590349470,42.699013443927107,52.548888590349470,48.885249924938122
13,14,33.228800000000000,50.686777253209108,56.778541593007624,50.686777253209108,40.273683352225817
74,75,33.228800000000000,59.673240982433200,54.672962601115458,59.673240982433200,34.005210150646860
83,84,33.228800000000000,65.185030631758607,67.392045073499347,65.185030631758607,45.915157063255144
86,87,33.228800000000000,44.810740260593334,43.146104030345235,44.810740260593334,39.526853177990638
98,99,33.228800000000000,55.313655681982766,61.032338656650417,55.313655681982766,36.063630293499962
119,120,33.228800000000000,30.866220397722902,28.784847718813058,30.866220397722902,38.115286626239630
133,134,33.228800000000000,35.397298563981764,32.994792041120633,35.397298563981764,37.586032624792914
144,145,33.228800000000000,35.005652358543699,37.165721179792406,35.005652358543699,36.782678989529288
161,162,33.228800000000000,35.705986539701868,40.171980406853400,35.705986539701868,34.748883366126130
163,164,33.228800000000000,34.001667022705078,38.947317687007803,34.001667022705078,37.318083757819302
11,12,34.224499999999999,36.538947151382310,39.974514404790810,36.538947151382310,37.926640164541112
16,17,34.224499999999999,55.292954644833792,57.923759035744979,55.292954644833792,39.425034054236242
27,28,34.224499999999999,43.708596559917147,53.869385039076818,43.708596559917147,36.932770259180963
33,34,34.224499999999999,43.047185478927652,53.777228248286733,43.047185478927652,38.113780807063982
9,10,37.575899999999997,42.180861562230575,45.792599437708489,42.180861562230575,35.264767131516983
15,16,37.575899999999997,50.230203498028338,58.560479575255648,50.230203498028338,40.010968583546827
92,93,38.288699999999999,54.283732524504813,50.842505898162102,54.283732524504813,42.055985469295848
44,45,42.087800000000001,65.253184675532552,50.414933682890762,65.253184675532552,40.411548490088620
58,59,42.087800000000001,59.145443812295753,55.943133948931489,59.145443812295753,39.893403293363271
53,54,42.219499999999996,55.049378451197498,48.229468897112334,55.049378451197498,38.889530985717570
97,98,44.389600000000002,55.009499914178868,49.908674525935929,55.009499914178868,40.082689834361929
69,70,44.947099999999999,54.779166536821599,46.892151189127645,54.779166536821599,46.794276454521729
157,158,46.976399999999998,33.175048741042197,36.201647521882116,33.175048741042197,31.569051817995156
4,5,47.265599999999999,49.839666685447455,56.613195682468039,49.839666685447455,39.208874234966281
159,160,47.265599999999999,49.450838230157878,52.330575083557612,49.450838230157878,36.863784082153877
79,80,49.046300000000002,54.605669715848691,48.894574143479197,54.605669715848691,40.388145802900873
96,97,49.046300000000002,48.863768754830680,47.790515085538615,48.863768754830680,40.702147996365554
88,89,51.911200000000001,60.384604221833754,53.818895464623012,60.384604221833754,37.930417585080825
102,103,51.911200000000001,57.503701216708855,60.613955266650564,57.503701216708855,43.845496898128900
135,136,51.927900000000001,37.427788720775233,37.667906645932952,37.427788720775233,34.810429870128225
142,143,51.927900000000001,50.275640399418798,46.689759788449507,50.275640399418798,34.782712214434525
162,163,51.927900000000001,55.222601073536460,58.440614724571986,55.222601073536460,37.364116843107183
75,76,51.977499999999999,53.604437195200042,51.787916830910440,53.604437195200042,38.889121837459342
89,90,51.977499999999999,57.523724111456517,43.672555184400004,57.523724111456517,42.300904641666506
110,111,51.977499999999999,41.290152910511488,41.432006946526094,41.290152910511488,36.239222273809730
95,96,52.706600000000002,57.386572119976378,54.024013715492849,57.386572119976378,38.622568156362505
137,138,55.623399999999997,40.660451291989723,37.569824633560863,40.660451291989723,36.066254199075424
54,55,55.732999999999997,55.980081067423690,47.721437422709805,55.980081067423690,43.984911746668303
138,139,55.732999999999997,51.486664188463969,49.177539941290114,51.486664188463969,36.588972338329512
26,27,9.213960000000000,48.259220267532505,57.827908320138647,48.259220267532505,42.375714275728605
40,41,9.213960000000000,84.910105012931396,63.845610132181982,84.910105012931396,49.647649081104504
81,82,9.213960000000000,33.741751977807681,33.888203688841983,33.741751977807681,38.407130454590543
167,168,9.213960000000000,41.006215194051016,39.094893513224072,41.006215194051016,38.838627421650493
