"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31"
"1",44,0,0,1,0,0,0,0,0,0,0,0,11,1,14,2,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0
"2",0,61,0,17,1,5,4,3,0,0,0,0,2,0,0,51,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,63,0,0,0,0,0,0,0,0
"4",5,13,0,61,0,0,1,0,0,0,0,0,3,0,0,19,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0
"5",0,0,0,0,195,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,0,0,0,0
"6",0,2,0,0,10,168,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"7",0,1,0,0,0,12,349,10,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"8",0,2,0,0,0,0,26,46,0,0,0,0,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,12,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
"13",8,1,0,9,0,0,8,7,0,0,0,0,50,0,18,15,0,0,4,0,0,0,87,0,0,0,0,0,0,0,0
"14",1,4,0,1,1,0,2,2,0,0,0,0,6,4,0,13,0,0,0,0,0,1,53,1,0,0,0,0,0,0,0
"15",13,1,0,1,0,0,0,0,0,0,0,0,5,0,137,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"16",0,22,0,28,1,3,12,7,0,0,0,0,4,0,0,674,0,0,0,0,0,0,138,0,0,0,0,1,0,0,0
"17",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
"18",0,11,0,7,0,0,1,2,0,0,0,0,2,2,0,89,0,1,0,0,0,1,47,1,0,0,0,0,0,0,0
"19",1,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"22",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,0,0,0,0,0,0,0,0
"23",8,3,0,31,0,0,0,0,0,0,0,0,12,0,0,5,1,0,1,0,0,27,924,0,0,0,0,0,0,0,0
"24",1,3,0,2,13,11,22,1,0,0,0,0,0,0,1,33,0,0,0,0,0,0,9,15,1,0,0,0,0,0,0
"25",0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,9,4,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"28",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"31",0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
