"POLY_ID","CMP","PERCENT","SOIL_CODE","SOIL_ID","CMP_ID","ORDER3","G_GROUP3","GTGRP","GG_ID"
502027,2,27,"MGE","NBMGE220~~A",50202702,"PZ","HFP","humo-ferric",23
502027,3,19,"REC","NBREC220~~N",50202703,"PZ","HFP","humo-ferric",23
502027,4,10,"REC","NBREC8~~~~A",50202704,"PZ","HFP","humo-ferric",23
502028,1,50,"REC","NBREC217~~A",50202801,"PZ","HFP","humo-ferric",23
502028,2,30,"SBY","NBSBY220~~A",50202802,"BR","SB","sombric",3
502028,3,20,"REC","NBREC8~~~~A",50202803,"PZ","HFP","humo-ferric",23
502029,1,50,"REC","NBREC125~~N",50202901,"PZ","HFP","humo-ferric",23
502029,2,30,"SBY","NBSBY8~~~~A",50202902,"BR","SB","sombric",3
502029,3,20,"REC","NBREC8~~~~A",50202903,"PZ","HFP","humo-ferric",23
502030,1,70,"REC","NBREC8~~~~A",50203001,"PZ","HFP","humo-ferric",23
502030,2,30,"REC","NBREC217~~A",50203002,"PZ","HFP","humo-ferric",23
502031,1,46,"SNB","NBSNB71~~~A",50203101,"LU","GL","gray",16
502031,2,27,"SNB","NBSNB8~~~~A",50203102,"LU","GL","gray",16
502031,3,17,"REC","NBREC217~~A",50203103,"PZ","HFP","humo-ferric",23
502031,4,10,"SNB","NBSNB424~~N",50203104,"LU","GL","gray",16
502032,1,60,"ITV","NBITV391~~A",50203201,"RG","HR","humic",25
502032,2,25,"MET","NBMET8~~~~A",50203202,"PZ","HFP","humo-ferric",23
502032,3,15,"GFL","NBGFL8~~~~A",50203203,"PZ","HFP","humo-ferric",23
